Nänäre north=Assajee south=Lalale east=Inkö west=Vääkän
Ätki north=Riruuskas south=Ählükkä west=Nelos
Epuun north=Jusovo south=Müvünnes east=Liko west=Vootkattii
Oonis north=Ispensirni south=Neustalmas east=Apilme west=Täksistünäännä
Nules north=Itanna south=Eikikääji east=Sävin west=Pihavataavi
Keni north=Pintäseppää south=Ääsnerräkä east=Ikkaansi west=Nöikäs
Sälös north=Ima south=Samije east=Änsömäälkäne west=Öölvättää
Simmiruulihua south=Laapa east=Aanones west=Ölke
Söpülen north=Müli south=Müürääsesnös east=Etkoori west=Räkään
Pile north=Nalmenontotte south=Lalarvilla east=Rölös west=Äjä
Ohkis north=Entive south=Jölis east=Eserun west=Sari
Täpö north=Aralkapa south=Ihäätüä east=Isä west=Ööksö
Tääsentihtöstis north=Meha south=Ekse east=Nipaakan west=Kora
Hunas north=Äre south=Iten east=Rastesin west=Amo
Illää north=Niskää south=Anpo east=Timülönüüt west=Kukinti
Ärikkä north=Ääskää south=Tintä east=Anajan west=Henen
Alalli north=Onus south=Oskotua east=Tulkikki west=Nölö
Tusaajaaksahi north=Lilkiji south=Öve east=Nitoo west=Asuunna
Öörtihä north=Onveksaskalkas south=Endoonoodimin east=Eneetikki west=Aveta
Pöllenedit north=Kässerpö south=Kestäärjöörkepi east=Naate west=Tältäkis
Reti north=Kuusisse south=Tääji east=Irä west=Äntääsöö
Sälääsääleskis north=Länkülö south=Vöölänön east=Aulannape west=Öösöl
Äsüsö north=Simä south=Käksülää east=Tolka west=Patuso
Inäli north=Soida south=Asna east=Tupa west=Neti
Lupatimesta north=Ärüllä south=Änönpä east=Asalin west=Attimeli
Änsesten north=Lökürvisää south=Resaatka east=Nöninpe west=Nalkua
Rälönke north=Tistirä south=Tekkoki east=Tarkesaaji west=Ärvüs
Alelislolan north=Ehlürpe south=Ina east=Sastirvados west=Eski
Iimara north=Restärän south=Lirpuuka east=Eto west=Täppövävä
Oppa north=Ojokeksero east=Epäämäästeme west=Telto
Nukkoppi north=Össööstää south=Pöölüssöö east=Mimäntäi west=Purui
Sedä north=Tavaahlin south=Linunhidola east=Auhtuunturko west=Säämi
Epälee north=Ikraarhe south=Attaan east=Läteri west=Hervaan
Tilala north=Anki south=Jorkirakooman east=Latii west=Hiluvo
Luraakkes north=Kini south=Rönettä east=Vatejine west=Ädümöö
Ööläärrätö north=Ekkenataastaan south=Nalane east=Ötäköö west=Ikkoo
Aanoopan north=Itkillöötee south=Alinis east=Kova west=Eetäs
Iujaalajoolma north=Sonisa south=Ölmään east=Killimertümüün west=Sänälve
Liitsäste north=Käke south=Saske east=Sisvenes west=Ankus
Älörjön north=Käämääsmä east=Estemmes west=Äülerö
Enilja north=Asillin south=Sunkoohus east=Esle west=Suollaalan
Pänääsmi north=Toltanna south=Ravui east=Sirroonatsas west=Ösühä
Äsüriltä north=Pakua south=Tisa east=Äjönke west=Aama
Siro north=Äsintidää south=Tükööttietsä east=Pihavataavi west=Killaa
Mohtikki north=Äsvi south=Nestötüs east=Araattus west=Nise
Aki north=Kura south=Töötöülihüntüä east=Ineslüttä west=Ööhdüsä
Idö north=Ilvana south=Rejöö east=Tehdääsöpsünä west=Setö
Ilisimpälä north=Pingihdi south=Ijün east=Ehäs west=Isöölekä
Orjallon north=Natua south=Tapi east=Sörmitä
Läärke north=Isirin south=Padanaa east=Rekintelöörüüs west=Vosvua
Ääppikke north=Änsülvöö south=Aatta east=Allekan west=Adanvarsirsa
Kiunaa north=Eras south=Jutraapiita east=Altaa west=Attulena
Ilorves north=Kelti south=Alloohis east=Ahus west=Rentin
Talvi north=Iman south=Matantos east=Irüttö west=Nikiduuris
Elistökköös north=Intaanaas south=Naallaile east=Mölelmä west=Kengäkekää
Änsömäälkäne north=Heri south=Asuunna east=Lilkiji west=Sälös
Ääküürkös north=Iksirilmipa south=Tüümö east=Mälänätkipröö west=Losve
Iko north=Ake south=Esön east=Rörrilä west=Isaa
Tantatta north=Akkakemmekki south=Sinelliskänä east=Nuusallot west=Räsüülölis
Aaruuratellaa north=Irjeske south=Isna east=Esjä west=Tuva
Tollanissos north=Selua south=Askaa east=Akkuuntaanaa west=Tölmä
Ilö north=Esvetta south=Osa east=Ikissimeeve west=Nölikkä
Räähö north=Sirrisemara south=Pöörjee east=Rirjas west=Tälääni
Öüsälkäkkänä north=Numi south=Ole east=Tive west=Muhruusti
Häälji north=Äsvöörettee south=Ahutos east=Kirkööljö west=Oostoli
Ömii north=Töösis south=Arjato east=Posha west=Sostahdan
Siüvelüüme north=Nünüjikkit south=Pilme east=Tela west=Auleerkaa
Äätäskejä north=Piilasanaadot south=Ninhii east=Akallen west=Hula
Aanmaankisaas north=Ääppööläästäüdün south=Äsäälle east=Nivirönääjä west=Sido
Pehdöjä north=Epi south=Etätin east=Nöölään west=Hooksi
Astuulis north=Tirusto south=Sülleksää east=Rüdäskän west=Tititti
Lidään north=Viplaankunaava south=Riva east=Vüstin west=Luusis
Tuurivos north=Lüti south=Joti east=Ekoova west=Rütüs
Ates north=Köütikerräpää south=Hösääte east=Äti west=Säreisten
Jattines north=Näällüünnä south=Älövinepöön east=Tiljannutte west=Anoonteisa
Raatikan south=Kakanii east=Tävämes west=Räppälmi
Mäsesken north=Öölkö south=Nikkastolluksa east=Iniksoostetta west=Sasas
Simodoolvi north=Öllä south=Kiile east=Ohuutte west=Käküke
Maakaara north=Lohjeli south=Irtepä east=Äpä west=Täsestä
Likuurtaa north=Irorun south=Emeli east=Nempitröön west=Litsi
Nönä north=Öötältejevö south=Ädäättöteis east=Arjaan west=Hakaa
Örives north=Ennekää south=Ekke east=Löhä west=Änäütis
Äpsätääs north=Püdön south=Ilet east=Estäänä west=Aonke
Läteri north=Apustatasis south=Aumirka east=Öödääsmis west=Epälee
Erjävi north=Nesta south=Kiräs east=Autto west=Määllevüürisä
Neintuuge north=Säkääkää south=Tintöi east=Jäätö west=Äskääkümöni
Tulmaa north=Näpä south=Ito east=Länölüö west=Erjälän
Ikisto north=Kaavevisjeltaa south=Äänisä east=Kitöhkäli west=Välevüä
Ilit north=Vospeki south=Ästüühistöne east=Mäkän west=Ijave
Isti north=Äsävä south=Ootta east=Ööjätin west=Mata
Tehtooti north=Söksä south=Elmälitrintö east=Tölirtä west=Mareras
Etüs north=Ikikkemi south=Tastestoon east=Etkaa west=Toonerappa
Hüümi north=Naapata south=Katetti east=Öväärin west=Nanato
Tettelta north=Ööjän south=Telli east=Isanoo west=Mönä
Estepe north=Tähäshüüröle south=Tehtimmesti east=Jaatta west=Ääjei
Luli north=Resahdikkas south=Möksönö east=Tille west=Äüttenüühinhä
Tüülänäättö north=Lätenääs south=Takistat east=Vuvarsis west=Püdetsi
Sämölee north=Keräätti south=Neksävökköö east=Süssä west=Ärräle
Masilan north=Issi south=Ilmaja east=Inkinüä west=Änän
Nokiitunate north=Oke south=Astaske east=Samipin west=Äisäs
Noojaa north=Oraarke south=Hela east=Hääli west=Pökrös
Altaa north=Mättätä south=Ähüülväseen east=Ete west=Kiunaa
Iisitsineskän north=Vieremmää south=Inista east=Tamaan west=Östin
Äälive north=Möönenörääntän south=Ettitee east=Öhmäälän west=Impönes
Lülö north=Itää south=Oolmova east=Tontosaa west=Tänin
Östän north=Käntälön south=Munke east=Renalasoos west=Hänini
Tänkes north=Ääsen south=Säänsä east=Sönüseneltä west=Eeparinaan
Oksata north=Auvoola south=Illä east=Nilö west=Nitirrädös
Sinemes north=Tetinte south=Ömüülläi east=Tavekes west=Kiküä
Eraa north=Nüsäärästin south=Ättö east=Sivii west=Ööshön
Künä north=Iräs south=Ääleksöndöösö east=Inti
Puittusen north=Lidoraji south=Täähläätääköde east=Pakas west=Äänpätän
Merjaalmaa north=Pääsirä south=Idös east=Lätö west=Ileti
Kovehla north=Sönääküä south=Irjäsüä east=Äsee west=Siikä
Nälläsen north=Tanson south=Lelli east=Tetimitöli west=Ilönkää
Sönte north=Tehtunaahlosan south=Timehin east=Rastaren west=Loolan
Siillaa north=Raakkon south=Kertiloo east=Sintöönäti west=Säläüpä
Elme north=Norha south=Allottastista east=Aahi west=Ipit
Kaanaalli north=Äläät south=Karotso east=Kästellää west=Sükittevüä
Oogi north=Äällätti south=Älä east=Leraaloos west=Epliki
Eraavajes north=Tittää south=Liko east=Itüüsöön west=Jusovo
Isviivätilli north=Tepärelpiltin south=Istä east=Akaanan west=Jutaanme
Änäi north=Ärüülläätäkes south=Pella east=Ihöös west=Tilpütä
Ipaasosuule north=Molluune south=Hivero east=Tühensöli west=Kääsküütis
Sipuulvitua north=Misäätäälees south=Kitsülättevüä east=Titi west=Aurra
Jereella north=Räsei south=Äälki east=Äühtüttüüntite west=Irtürösä
Lenmisie north=Niirrö south=Örtäsmäskä east=Kemakaante west=Tolka
Nalmisa north=Eserun south=Näkälenä west=Jölis
Äünei north=Seda south=Tenäjä east=Vömükö west=Ekkiksamusua
Nistuustes north=Pisöshö south=Äväs east=Roopi west=Sasponi
Etta north=Nutolinuumaas south=Nüütrüvä east=Nistä west=Ahki
Hettikis north=Serkihaa south=Pürinnüün east=Hönvimä west=Äästärjes
Täksistünäännä north=Nirä south=Midi east=Oonis west=Aalmaara
Räkä north=Ääkkis south=Isällä east=Seirse west=Evään
Asaas north=Eluunetorjas south=Istös east=Sime west=Määkköskön
Nüne north=Luvelies south=Eevan east=Jatsoun west=Ööküüttän
Ökäkkirüümmän north=Möölä south=Eslima east=Paakkurvaa west=Aumenodire
Nanomirurno north=Tälli south=Öüllüre east=Tarkoja west=Tätää
Sini north=Oovessistas south=Niisakoo east=Älläsöös west=Kavaakka
Eli north=Atikaa south=Lenäle east=Eri west=Elmit
Evimo north=Irä south=Irirsaasva east=Söödö west=Tääji
Rääpersö north=Akkalua south=Äädi east=Silmaalkorrakua west=Öppi
Räpes north=Ännö south=Tontuuson east=Iintinta west=Nesaan
Oostastitaana north=Ähtülvi south=Ötelülkemä east=Olmepoliha west=Pera
Satrinaastina north=Notusutaki south=Tarkesaaji east=Ladultijuna west=Tistirä
Äskästätä north=Tärtä south=Käpöötkempäs east=Öökkilä west=Toksapavan
Eviläs north=Äädenjis south=Kelä east=Nitses west=Irkäälön
Säräkälöke north=Söte south=Epäämäästeme east=Ätter west=Ojokeksero
Hooka north=Almosoo south=Pänsimmödet east=Mätsirri west=Evaa
Sevovollan north=Önnödä south=Müisirün east=Sääkelääs west=Säsöttäs
Ähinnä north=Tussooma south=Tori east=Näädön west=Auki
Leppün north=Eksäs south=Pote east=Lasna west=Ösüüntä
Löngi north=Lanooskasvoos south=Äähääseehöjän east=Taateenvoorka west=Ide
Naankeka north=Havehti south=Kerkin east=Rävää west=Säälärjä
Äkerjäppö north=Arjan south=Tula east=Ööshön west=Tentallaarvi
Öpikköppä north=Ötäköö south=Lettäs east=Odookkika west=Nalane
Köüvöhäs north=Kahtakko south=Tiliihängäärjään east=Kida west=Tokovinnen
Rirkipantaa north=Aanpeton south=Onnees east=Etoo west=Äteppälle
Ilmaatta north=Öljin south=Äümi east=Jilmoovi west=Kevä
Sortos north=Ristö south=Kuuntaahde east=Heritti west=Inala
Sevitünäntä north=Lodis south=Ahkaa east=Restän west=Sataankavapen
Purui north=Lelvemmaan south=Attoomaakkaatta east=Nukkoppi west=Erakkettiri
Nühjärän north=Änhös south=Ises east=Teerkoiton west=Hätää
Hotton north=Lenen south=Ipua east=Äämeseinnöle west=Eseteelä
Ihirire north=Appaames south=Ilvoonmennitka east=Tirjuro west=Ine
Älle north=Kideesmellö south=Pärtänülädes east=Emaji west=Ninvasato
Teri north=Öhtittei south=Irää east=Vastomalloosken west=Eelmi
Terutaastitti north=Isteppa south=Önöökääpänää east=Älästä west=Ääte
Ähvö north=Mitüüdöö south=Eetäli east=Onola west=Mäkön
Kunhoottat north=Enene south=Aullaa east=Aavi west=Tikkuulti
Sülimen north=Intepi south=Äärjürjäättüüt east=Inäpin west=Taasi
Nuuta north=Ärrä south=Iläräs east=Vina west=Estün
Aihaihalko north=Taron south=Atoo east=Äksänkä west=Nelikke
Lästi north=Askaasuutotaa south=Arja east=Ihdä west=Onaja
Kovaata north=Rikala south=Kölüä east=Övätüsilä west=Ooluktavellan
Aastaaskipua north=Löösä south=Kaksi east=Pötäriräärüs west=Vattoonsi
Jinään north=Sääntötkö south=Sipekäti east=Sasponi west=Taannaska
Täkkäämmeenä north=Ikookun south=Esvettöä east=Kieska west=Iskes
Ootela north=Oksasaa south=Äätääjää east=Ville west=Vaarraa
Röörjön north=Tiskirä south=Jaaten east=Teesme
Aalaapumas north=Ilees south=Sope east=Epö west=Atis
Tistieni north=Isa south=Kiloo east=Pissiepään west=Soohmihtosi
Tili north=Mohjikit south=Saamaamos east=Ivääs west=Aavitivi
Kettühdälä north=Ittäs south=Säde east=Muutkaalalaa west=Öli
Jäkölmüsörte north=Eha south=Ilis east=Süörä west=Alaaltanka
Ääjän north=Ämeväs south=Lovoo east=Etka west=Lalan
Etinteesa north=Ineltoo south=Oraa east=Arta west=Saalalo
Ajokkohki north=Mastostastaa south=Tina east=Jisen west=Nähittöös
Ehekasaan north=Oka south=Öökä east=Asehten west=Testümööti
Saartakes north=Ätiin south=Lila west=Välli
Ietulalin north=Pöke south=Säsvä east=Närkö west=Laakkomodelka
Telööläs north=Elipi south=Ömi east=Ättüüntä west=Nilliltäs
Näätälin north=Ropasaas south=Mäske east=Onodoos west=Täröspä
Nuunsoa north=Ettälüse south=Öpeläslüä east=Äämöküntöönään west=Ilita
Vepetakas north=Äsjä south=Aludes east=Naahenkeslosis west=Nipsole
Naastati north=Puusvan south=Övä west=Tonas
Käsä north=Lännäänän south=Sakuna east=Asuurtimmes west=Entoohtinin
Kalisesuuhkin north=Noomiisuuti south=Irahmevasi east=Ruuki west=Ville
Ohoon north=Enteksi south=Räähjä east=Ejuuma west=Tetevä
Oipelehrorous north=Äpä south=Läämin east=Ooluktavellan west=Irtepä
Ausos north=Lelävepse south=Ellentüüköhää east=Hesvöretää west=Telaa
Ijoosveksutan north=Älvätä south=Visostines east=Ärveläätääsän west=Nonaas
Ollalvi north=Asalin south=Isale east=Saarelliippi west=Änönpä
Eitä north=Käänilä south=Könen east=Öötti west=Tänein
Vöüsäkäräsä north=Ölle south=Etote east=Kisvemestanaa west=Ärvöükki
Arulus north=Oovarti south=Ervä east=Lannees west=Tutaatastesi
Säreisten north=Tidä south=Asuussa east=Ates west=Haamirkaa
Sääkelääs north=Aanta south=Önkiiperni east=Mönä west=Sevovollan
Neksolpe north=Tirajatkitto south=Pimuulaan east=Määlkämä west=Süüsiji
Moraahasiro north=Tärrölipä south=Kiivä east=Suta west=Äülün
Väkkä north=Äsüüs south=Atoos east=Pootkoli west=Önkikää
Atsa north=Ännööke south=Nöstää east=Irhää west=Itäs
Elvippe north=Almootis south=Attoo east=Lunus west=Jele
Enenäs north=Enimaanuukkun south=Nuulihti east=Tinön west=Rörepä
Mullolji north=Kenüste south=Älme east=Äätöön west=Näästö
Ehaala north=Kusli south=Raarhalkai east=Nigo west=Äläkke
Ärüvengitküüs north=Ähilmi south=Etäskä east=Touhinsa west=Eteta
Äällen north=Sihve south=Äskää east=Liruukka west=Öllös
Nööskönös north=Asitsas south=Loorraran east=Osasti west=Ihelka
Iinelirelvä north=Ivose south=Nidallintas east=Mülä west=Kekkaaris
Nidunen north=Nöötti south=Örji east=Önüsmä west=Likka
Vaaratkurra north=Paikielo south=Läskältä east=Intiikäppöskän west=Äämäppä
Rüülähviireppöö north=Töntüs south=Ötismän east=Pekke west=Rökönängö
Kuro north=Lüülän south=Itkuuvoos east=Horeli west=Römöstäsi
Tittünkä north=Sasena south=Aatuunin east=Taatoo west=Iniksoostetta
Eksositkukka north=Teveläävüümö south=Lömüüllin east=Isismääsis west=Ästäteküä
Osi north=Anoolva south=Töönä east=Itääs west=Keläre
Kikö north=Sapahdunes south=Nölikkä east=Esvetta west=Taduliistusko
Eneköö north=Ileppöösöö south=Äänäve east=Äälelvää west=Käve
Jooroova north=Peläsä south=Pupie east=Mavelli west=Eekünkä
Ipaasirto north=Tuuvi south=Ätri east=Turva west=Ärüräs
Kinaa north=Mäkööröö south=Nikkihin east=Ösäri west=Ärri
Männüükti north=Häne south=Inva east=Reni west=Aukkaa
Äärävötteekö north=Naale south=Elmaaventi east=Anno west=Salokaavoo
Iketten north=Ösälintihtäs south=Pare east=Altonitta west=Äde
Atuo north=Ataat south=Koola east=Aakilen west=Takeni
Nema north=Sänälve south=Ätsääs east=Ölmään west=Hönüütää
Meltä north=Aulanten south=Tuutoten east=Auto west=Nääli
Imooree north=Kärüüllö south=Äsesättüün east=Kälpüä west=Mirenoovati
Etke north=Elitin south=Ana east=Astossusaati west=Ohkaan
Aansaa north=Ekkää south=Notirkoo east=Ilaa west=Aaja
Lililonelmo north=Siipaluuvan south=Aavos east=Etä west=Tümütti
Kantejiikkaan north=Eseskärrä south=Inile east=Köjääkken west=Nüülülüün
Ööllönnöörää north=Nölkilmönän south=Edööti east=Halat west=Nakavoo
Enöö north=Nänsö south=Aamirri east=Kartaa west=Paallegua
Anapi north=Sörhermöönüpe south=Tilköivöli east=Torele west=Entotenpule
Nälitidär north=Ostasmua south=Teisili east=Vaalki west=Tittöö
Ettuksei north=Sikenaa south=Äsüürjä east=Äntääkä west=Säski
Sitamamupi north=Rätisvün south=Nevaanaas west=Seempa
Müvünnes north=Epuun south=Topa east=Aappe west=Susate
Toonerappa north=Konarjis south=Ataate east=Etüs west=Intötseterö
Eikikääji north=Nules south=Hövenüütemmä east=Nenaat west=Vemo
Ääsnerräkä north=Keni south=Lehän east=Räänli west=Kikua
Laapa north=Simmiruulihua south=Äüstäne east=Öhköönirüüllit west=Sääjälillöö
Nösin north=Astura south=Laateka east=Nöhä west=Imenereka
Lalarvilla north=Pile south=Rekä east=Ipön west=Taateenvoorka
Oostuun north=Iskaapi south=Ädätile east=Valliitaanuun west=Mätelötütä
Jäppäntüüstä south=Surepaleji east=Nemäri west=Appaami
Äätöön north=Ooki south=Okete east=Määttäälihäppää west=Mullolji
Äre north=Voristorri south=Hunas east=Lonmaahdasi west=Älmipä
Nitirrädös north=Atetitami south=Entöökävättes east=Oksata west=Itkimüüs
Ääskää north=Jena south=Ärikkä east=Jitä west=Asuun
Onus north=Testerrappanas south=Alalli east=Kiinää west=Asakkuukintaan
Öve north=Tusaajaaksahi south=Ööküüttän east=Luvelies west=Ovoos
Süüsiji north=Sistini south=Äärre east=Neksolpe west=Eemää
Kässerpö north=Äävehtööris south=Pöllenedit east=Aumijaksitte west=Hüstääsläs
Tääji north=Reti south=Öpüün east=Evimo west=Aunnes
Länkülö north=Säpüülün south=Sälääsääleskis east=Kaaten west=Etkakirupi
Käksülää north=Äsüsö south=Atsema east=Elei west=Tüüdüä
Asna north=Inäli south=Tittiipe east=Tatadiskis west=Läästäänö
Änönpä north=Lupatimesta south=Kasusas east=Ollalvi west=Aleerolilas
Erö north=Ääre south=Leskö east=Övööljö west=Säässüs
Tekkoki north=Rälönke south=Täätöö east=Kookkaa west=Övätüsilä
Nototta north=Hites south=Kere east=Hisilö west=Allemaploni
Lirpuuka north=Iimara south=Ömö east=Hontijaki west=Tömöölää
Äünilme north=Nivää south=Nelejotsoni east=Sänätääketä west=Ätsänsi
Pöölüssöö north=Nukkoppi south=Ketänsün east=Invisti west=Attoomaakkaatta
Linunhidola north=Sedä south=Sülihtä east=Aloora west=Ömään
Anki north=Mekatooka south=Tilala east=Kösä west=Laattallaas
Rärjilkää north=Mäni south=Elee east=Kevesa west=Önänöntüs
Sirre north=Käänälääs south=Örpenünes east=Sahoonkos west=Hühöön
Elaa north=Touniletove south=Hääkäs east=Ähkö west=Araa
Sonisa north=Sötän south=Iujaalajoolma east=Lättämmetänses west=Esaakenilma
Ikoheedapei north=Ervin south=Ista east=Iirriskä west=Luska
Sahtammitape north=Taljo east=Iha west=Rüülä
Sunkoohus north=Enilja south=Ojaa east=Lenähän west=Nejöörhei
Ama north=Ijääs south=Sasponi east=Pisöshö west=Sääntötkö
Tisa north=Äsüriltä south=Hüüsääkkikimä east=Akintoppatten west=Enüllää
Medini north=Anaa south=Sesaatolmua east=Alera west=Vömükö
Nestötüs north=Mohtikki south=Numesa east=Tirjevepome west=Nöölüä
Ataapa north=Ötä south=Jepas east=Öhtüümpimüvää west=Ättötsee
Rejöö north=Idö south=Isate east=Tükerütä west=Salaren
Kepitäs north=Iniläpäävi south=Pissiepään east=Tootolletkaa west=Isa
Taasi north=Sasos south=Sömüüpöövültin east=Sülimen
Padanaa north=Läärke south=Toostaakous east=Kieren west=Nivirönääjä
Aatta north=Ääppikke south=Rilitsaa east=Vaativa west=Söväre
Ooraako north=Nisje south=Nalesten east=Sepse west=Hesvöretää
Alloohis north=Ilorves south=Apaje east=Älmekköölä west=Paviro
Iman north=Taasseskin south=Talvi east=Ervamottis west=Ekkajojehkin
Rila north=Audoo south=Ällö east=Ruulkaanaarippes west=Atilvikkouse
Heri north=Linte south=Änsömäälkäne east=Ötii west=Ima
Iksirilmipa north=Puhantonki south=Ääküürkös east=Münnäs west=Otta
Ake north=Lostemaa south=Iko east=Nüükäärsä west=Lakavi
Akkakemmekki north=Oohee south=Tantatta east=Naarven west=Kiheteves
Töjärjüsillän north=Etemi south=Attotee east=Taahdikavis west=Ausa
Selua north=Aastun south=Tollanissos east=Erte west=Ketta
Osa north=Ilö south=Ihja east=Teskä west=Pönis
Nerpaatohto north=Jintinööpän south=Jurton east=Ranookihkuvua west=Vaalmekkoottera
Ole north=Öüsälkäkkänä south=Äpisä east=Ämmürüä west=Sonuta
Ahutos north=Häälji south=Ääkekki east=Näsä west=Sääsäs
Arjato north=Ömii south=Säläüpä east=Raakkon west=Kädänöle
Pilme north=Siüvelüüme south=Vuusie east=Rintää west=Päärjis
Ninhii north=Äätäskejä south=Vule east=Nilöppe west=Pumis
Ösöön north=Anajan south=Nukasanes east=Ilerhi west=Tintä
Etätin north=Pehdöjä south=Paapapperippe east=Letä west=Ivisä
Sülleksää north=Astuulis south=Serua east=Elis west=Nähkikkistäänin
Riva north=Lidään south=Taasala east=Äänäli west=Ineraalikki
Posaali north=Litsellismo south=Ädäänös east=Oovan west=Misi
Hösääte north=Ates south=Ättekkösüjis east=Alita west=Asuussa
Kona north=Sarka south=Äriküünintin east=Öngöö west=Ölenä
Aatkaksa north=Siruudas south=Hehjä east=Nestügüsövää west=Tänissöös
Öölkö north=Ähtüülmilläävä south=Mäsesken east=Elä west=Iltöntö
Nitses north=Laalittatisi south=Jökkelää east=Pekö west=Eviläs
Lohjeli north=Imösläpelkän south=Maakaara east=Lägeken west=Äüvisädi
Irorun north=Tinakikuuvin south=Likuurtaa east=Läässäänönnö west=Rekin
Siilo north=Kehväjöö south=Äürhe east=Rulisinunkis west=Rüükemei
Öötältejevö south=Nönä east=Limiehlode west=Teesärä
Önüsmä north=Aalmes south=Ätrili east=Oornokaan west=Nidunen
Tutaatastesi north=Enaaspa south=Rinjasli east=Arulus west=Tehkää
Apustatasis north=Innä south=Läteri east=Äligä west=Ikraarhe
Kiräs north=Erjävi south=Kesterhä east=Mepaaraa west=Auhdusas
Tintöi north=Neintuuge south=Kunolla east=Äskede west=Looro
Ito north=Tulmaa south=Ehuuvin east=Eka west=Litoona
Äänisä north=Ikisto south=Erte east=Arukeli west=Aastun
Sisökkän north=Önkikää south=Ittistettän east=Atoos west=Ellinkoa
Rörepä north=Irhajasisin south=Henkiemöttäkä east=Enenäs west=Rinto
Elmälitrintö north=Tehtooti south=Tootra east=Antoonna west=Vüninkes
Tastestoon north=Etüs south=Itä east=Saakkuusepun west=Ataate
Katetti north=Hüümi south=Ädää east=Lerhaalosta west=Kääkössen
Ööjän north=Öllelkistä south=Tettelta east=Puulili west=Tejä
Kivepoka north=Löte south=Hävirji east=Iinän west=Pelinükä
Resahdikkas north=Hinisentila south=Luli east=Oirkaa west=Naasa
Errenistepöö north=Makuutras south=Akehas east=Illärin west=Kisvinintii
Iskosoo north=Küsä south=Nunta east=Satkua west=Anheisi
Issi north=Inuunnuunhaale south=Masilan east=Tivan west=Ire
Tükerütä north=Tehdääsöpsünä south=Onaalleni east=Lali west=Rejöö
Temaruumii north=Enopas south=Tekelväsispä east=Pite west=Silmivaastiulen
Mättätä north=Eton south=Altaa east=Mirärää west=Eras
Inista north=Iisitsineskän south=Elä east=Anuuksarja west=Ähtüülmilläävä
Irvilüüntintös north=Etteensinila south=Antome east=Roolutsara west=Kestin
Oolmova north=Lülö south=Iiso east=Päten west=Avekkaasoo
Püge north=Säänpe south=Tengetkistöötkä east=Kijitke west=Ätteppetää
Tääntössiläätün north=Äteppälle south=Inki east=Onnees west=Lisküä
Säänsä north=Tänkes south=Rato east=Tuse west=Idalkolkella
Illä north=Oksata south=Ekketenoke east=Lisishänestön west=Entöökävättes
Aukkaa north=Löme south=Eejäs east=Männüükti west=Tööskärrä
Ättö north=Eraa south=Jooniti east=Esüüste west=Nekimo
Anta north=Ääkke east=Mekaanunte west=Meleette
Ääleksöndöösö north=Künä south=Tanaa east=Kohmenurastoo
Täähläätääköde north=Puittusen south=Rirjas east=Ippipakaa west=Sirrisemara
Nämüä north=Änö south=Looskules east=Ineraalikki west=Loonis
Sönääküä north=Ööhmänä south=Kovehla east=Tüünköö west=Ieraka
Tanson north=Jelä south=Nälläsen east=Iries west=Hemünge
Tehtunaahlosan north=Käpsö south=Sönte east=Etsääppö west=Ästi
Etömis north=Enga south=Akulin east=Eki west=Renteves
Norha north=Tüstömi south=Elme east=Namihti west=Öllöödi
Äläät north=Vahoopis south=Kaanaalli east=Oltaahme west=Elma
Äällätti north=Ööstä south=Oogi east=Sasori west=Sekkosorekas
Tittää north=Hevisös south=Eraavajes east=Ikasa west=Mestuhkaan
Tepärelpiltin north=Käkkeekö south=Isviivätilli east=Könsäänihöntüüs west=Nijomooke
Ärüülläätäkes north=Äkinti south=Änäi east=Tömääntö west=Silmaalkorrakua
Hivero north=Ipaasosuule south=Neliturike east=Nuustuumakaa west=Herippisääs
Ikeesöstüä north=Pönti south=Peppüürää east=Ketölmürhärpe west=Jääseli
Kivuuttaakan north=Intä south=Menesta east=Terosa west=Evemas
Örtäsmäskä north=Lenmisie south=Omostit east=Sotii west=Elei
Aallastosi north=Sanati south=Teihmapsa west=Ipson
Tenäjä north=Äünei south=Ohuutte east=Ralkoo west=Öllä
Äväs north=Nistuustes south=Lällömürpis east=Karan west=Sehlet
Nüütrüvä north=Etta south=Akiraahena east=Tevokaanhutkin west=Ähüüs
Pürinnüün north=Hettikis south=Äteelöön east=Öüvikees west=Paskaa
Midi north=Täksistünäännä south=Loommoo east=Neustalmas west=Teläjie
Isällä north=Räkä south=Löhä east=Naski west=Ennekää
Istös north=Asaas south=Lina east=Naasoskipotan west=Hasilove
Helmoitte north=Sönpi south=Linsere east=Päppäköö west=Önilä
Möölä north=Kätädö south=Ökäkkirüümmän east=Ästipsi west=Ääskes
Tälli north=Eloo south=Nanomirurno east=Allon west=Aksimo
Oovessistas north=Aunles south=Sini east=Alvalkentan west=Kirtuotti
Atikaa north=Ruhmuppoo south=Eli east=Öötä west=Sörkäänä
Navaanni north=Sööppö south=Hamo east=Huskintaduni west=Enunnin
Akkalua north=Ööskölän south=Rääpersö east=Nönüä west=Ennüs
Sepua north=Äülkäte south=Ähtöllinöni east=Ahjannin west=Ilelo
Notusutaki north=Hititsikis south=Satrinaastina east=Möninkös west=Hallalara
Käpöötkempäs north=Äskästätä south=Vosa east=Öppelidää west=Menan
Käküke north=Isanoo south=Eme east=Simodoolvi west=Telli
Söte north=Ispo south=Säräkälöke east=Kakaamevaksas west=Nejirkuuna
Ritete south=Ellä east=Tampuuttot west=Lallonesin
Äälläähtiinti north=Ätin south=Ätsööti east=Itsosapsen west=Sittää
